t 1 2 jV0100 
2.65 10 9.28282 -0.143437
2.66 10 9.28995 -0.142009
2.67 10 9.29702 -0.140596
2.68 10 9.30401 -0.139197
2.69 10 9.31094 -0.137812
2.7 10 9.31779 -0.136441
2.71 10 9.32458 -0.135083
2.72 10 9.3313 -0.133739
2.73 10 9.33796 -0.132409
2.74 10 9.34454 -0.131091
2.75 10 9.35107 -0.129787
2.76 10 9.35752 -0.128495
2.77 10 9.36392 -0.127217
2.78 10 9.37025 -0.125951
2.79 10 9.37651 -0.124698
2.8 10 9.38272 -0.123457
2.81 10 9.38886 -0.122228
2.82 10 9.39494 -0.121012
2.83 10 9.40096 -0.119808
2.84 10 9.40692 -0.118616
2.85 10 9.41282 -0.117436
2.86 10 9.41866 -0.116267
2.87 10 9.42445 -0.11511
2.88 10 9.43018 -0.113965
2.89 10 9.43585 -0.112831
2.9 10 9.44146 -0.111708
2.91 10 9.44702 -0.110597
2.92 10 9.45252 -0.109496
2.93 10 9.45797 -0.108407
2.94 10 9.46336 -0.107328
2.95 10 9.4687 -0.10626
2.96 10 9.47399 -0.105203
2.97 10 9.47922 -0.104156
2.98 10 9.4844 -0.10312
2.99 10 9.48953 -0.102094
3 10 9.49461 -0.101078
3.01 10 9.49964 -0.100072
3.02 10 9.50462 -0.0990763
3.03 10 9.50955 -0.0980904
3.04 10 9.51443 -0.0971144
3.05 10 9.51926 -0.0961481
3.06 10 9.52404 -0.0951914
3.07 10 9.52878 -0.0942442
3.08 10 9.53347 -0.0933065
3.09 10 9.53811 -0.092378
3.1 10 9.54271 -0.0914589
3.11 10 9.54726 -0.0905488
3.12 10 9.55176 -0.0896478
3.13 10 9.55622 -0.0887558
3.14 10 9.56064 -0.0878727
3.15 10 9.56501 -0.0869983
3.16 10 9.56934 -0.0861327
3.17 10 9.57362 -0.0852756
3.18 10 9.57786 -0.0844271
3.19 10 9.58206 -0.083587
3.2 10 9.58622 -0.0827553
3.21 10 9.59034 -0.0819319
3.22 10 9.59442 -0.0811167
3.23 10 9.59845 -0.0803095
3.24 10 9.60245 -0.0795104
3.25 10 9.6064 -0.0787193
3.26 10 9.61032 -0.077936
3.27 10 9.6142 -0.0771605
3.28 10 9.61804 -0.0763927
3.29 10 9.62184 -0.0756326
3.3 10 9.6256 -0.0748801
3.31 10 9.62933 -0.074135
3.32 10 9.63301 -0.0733973
3.33 10 9.63667 -0.072667
3.34 10 9.64028 -0.0719439
3.35 10 9.64386 -0.0712281
3.36 10 9.6474 -0.0705193
3.37 10 9.65091 -0.0698177
3.38 10 9.65439 -0.069123
3.39 10 9.65782 -0.0684352
3.4 10 9.66123 -0.0677542
3.41 10 9.6646 -0.06708
3.42 10 9.66794 -0.0664126
3.43 10 9.67124 -0.0657518
3.44 10 9.67451 -0.0650975
3.45 10 9.67775 -0.0644498
3.46 10 9.68096 -0.0638085
3.47 10 9.68413 -0.0631736
3.48 10 9.68728 -0.062545
3.49 10 9.69039 -0.0619226
3.5 10 9.69347 -0.0613065
3.51 10 9.69652 -0.0606965
3.52 10 9.69954 -0.0600925
3.53 10 9.70253 -0.0594946
3.54 10 9.70549 -0.0589026
3.55 10 9.70842 -0.0583165
3.56 10 9.71132 -0.0577363
3.57 10 9.71419 -0.0571618
3.58 10 9.71704 -0.056593
3.59 10 9.71985 -0.0560299
3.6 10 9.72264 -0.0554724
3.61 10 9.7254 -0.0549204
3.62 10 9.72813 -0.0543739
3.63 10 9.73084 -0.0538329
3.64 10 9.73351 -0.0532973
3.65 10 9.73617 -0.0527669
3.66 10 9.73879 -0.0522419
3.67 10 9.74139 -0.0517221
3.68 10 9.74396 -0.0512074
3.69 10 9.74651 -0.0506979
3.7 10 9.74903 -0.0501934
3.71 10 9.75153 -0.049694
3.72 10 9.754 -0.0491995
3.73 10 9.75645 -0.04871
3.74 10 9.75887 -0.0482253
3.75 10 9.76127 -0.0477455
3.76 10 9.76365 -0.0472704
3.77 10 9.766 -0.0468
3.78 10 9.76833 -0.0463343
3.79 10 9.77063 -0.0458733
3.8 10 9.77292 -0.0454169
3.81 10 9.77518 -0.044965
3.82 10 9.77741 -0.0445175
3.83 10 9.77963 -0.0440746
3.84 10 9.78182 -0.043636
3.85 10 9.78399 -0.0432018
3.86 10 9.78614 -0.042772
3.87 10 9.78827 -0.0423464
3.88 10 9.79037 -0.041925
3.89 10 9.79246 -0.0415079
3.9 10 9.79453 -0.0410948
3.91 10 9.79657 -0.0406859
3.92 10 9.79859 -0.0402811
